link,tanggal
https://sehatnegeriku.kemkes.go.id/baca/rilis-media/20231011/4444019/penerbitan-str-seumur-hidup-lebih-mudah-lewat-portal-satusehat-sdmk/,2023-10-11
https://dinkes.acehprov.go.id/detailpost/penerbitan-str-seumur-hidup-lebih-mudah-lewat-portal-satu-sehat,2023-10-11
https://mediaindonesia.com/humaniora/620326/tenaga-medis-dan-kesehatan-bisa-dapatkan-str-seumur-hidup-lewat-platform-satu-sehat-sdm-kesehatan,2023-10-11
https://rm.id/baca-berita/ekonomi-bisnis/181644/resmi-mengudara-maxquad-emr-terintegrasi-dengan-satu-sehat-dan-bpjs-kesehatan,2023-07-28
https://dinkes.jogjaprov.go.id/berita/detail/webinar-penguatan-pemantauan-wilayah-melalui-digitalisasi-layanan-primer-simpus-integrasi-dengan-program-satu-sehat,2023-07-20
https://www.djkn.kemenkeu.go.id/kpknl-mamuju/baca-kilas-peristiwa/14755/Jumt-Sehat-bersama-Kakanwil-DJKN-Sulseltrabar-dan-Kemenkeu-Satu-Sulbar.html,2023-07-18
https://www.infopublik.id/kategori/nusantara/718158/dukung-transformasi-pedulilindungi-jadi-satu-sehat-mobile-dinkes-padang-panjang-akan-laksanakan-sosialisasi,2023-06-25
https://www.liputan6.com/hot/read/5309541/cara-ubah-data-sertifikat-vaksin-lewat-whatsapp-tak-perlu-kirim-email-lagi,2023-06-24
https://www.gatra.com/news-574559-kesehatan-akreditasi-dokter-dan-dokter-gigi-lewat-satu-sehat-begini-caranya.html,2023-06-23
https://koran.tempo.co/read/berita-utama/482806/celah-penyalahgunan-data-di-ruu-kesehatan,2023-06-22
https://www.kompas.tv/nasional/418668/status-pandemi-berubah-endemi-aplikasi-satu-sehat-berfungsi-jadi-citizen-health-apps?page=all,2023-06-21
https://www.tribunnews.com/nasional/2023/06/21/indonesia-masuk-endemi-aplikasi-satu-sehat-jadi-citizen-health-apps,2023-06-21
https://www.halodoc.com/artikel/bagaimana-cara-mendapatkan-vaksin-virus-corona-covid-19,2023-06-21
https://www.antaranews.com/berita/3597063/guru-besar-fkui-inisiatif-satu-sehat-perlu-dukungan-jejaring-kerja,2023-06-20
https://teknologi.solopos.com/aplikasi-satu-sehat-mobile-tidak-bisa-login-ini-penjelasan-kemenkes-1563746,2023-06-19
https://surabayapagi.com/read/aplikasi-gayatri-selangkah-menuju-platform-satu-sehat,2023-05-18
https://radarmojokerto.jawapos.com/mojokerto/821024449/aplikasi-kesehatan-kota-mojokerto-gayatri-segera-terintegrasi-ke-satu-sehat,2023-05-18
